,loss,test_loss,acc,test_acc
59,0.996328070687787,0.9956854393228817,0.9051717629294074,0.9060022650056625
60,0.996674387783244,0.9946832484093265,0.9048697621744054,0.9063797659494148
61,0.9972278115829983,0.9962166232475336,0.9042657606644017,0.9053227633069083
62,0.9985324009029186,1.0034948655084712,0.9036617591543978,0.9001887504718762
63,0.9983780349510304,0.9945839788890691,0.903359758399396,0.9067572668931673
64,0.9968704050001891,0.9950891367479223,0.9044167610419026,0.9069082672706682
65,0.9967644017387703,0.9940657349312363,0.9047187617969045,0.9074367685919215
66,0.997764095592038,0.9950500510740972,0.9038127595318989,0.9064552661381653
67,0.9967251653256624,0.9974893263860601,0.9048697621744054,0.9047942619856549
68,0.996359044658965,0.993528807076855,0.9054737636844092,0.9082672706681767
69,0.9943869407626166,0.9922705687186568,0.9069837674594187,0.9094752736881843
70,0.9963682912973966,0.9936920404434204,0.9050962627406568,0.9076632691581729
71,0.9944210978233872,0.994351714849472,0.9072102680256701,0.9069837674594187
72,0.9935796558856964,0.9931752537759606,0.9078142695356738,0.9085692714231786
73,0.9949367560338283,0.9931752517603446,0.9064552661381653,0.908644771611929
74,0.9928223070315116,0.9919908899040037,0.9084182710456776,0.9093242733106833
75,0.9919674361961476,0.9909602279824336,0.9094752736881843,0.9106077765194412
76,0.9907782583133035,1.0030389324478481,0.9108342770856928,0.8970932427331069
77,0.9857836113747768,0.9859952108871534,0.9158927897319743,0.9156662891657229
78,0.9842894542332433,0.9859292679938717,0.9171007927519819,0.9161947904869762
79,0.9829598501108695,0.9819621604997755,0.9186862967157418,0.919516798791997
80,0.9797557303007098,0.9803977081741112,0.9217818044545112,0.9214043035107587
81,0.9801852215027463,0.9810426861479662,0.9216308040770101,0.9204983012457532
82,0.9774499418942825,0.985491373832675,0.9242733106832767,0.9171007927519819
83,0.9768234646838644,0.9796252184444003,0.92480181200453,0.9217818044545112
84,0.9765026059703551,0.9801180863725967,0.92480181200453,0.9217818044545112
85,0.9751259095714864,0.9781744969639801,0.9269158172895432,0.9232918082295206
86,0.9741715271979714,0.9783707854252507,0.9273688184220461,0.9227633069082672
87,0.9750071964114184,0.9779197370660477,0.9269913174782937,0.9234428086070215
88,0.9738610749659331,0.9773243517403442,0.9275953189882975,0.9240468101170253
89,0.974871421781715,0.977849560227371,0.9269158172895432,0.9238203095507739
90,0.9738370077909478,0.9790404794584726,0.9278218195545489,0.9228388070970177
91,0.9732128301104486,0.9774342288717556,0.9284258210645526,0.9242733106832767
92,0.9738730320320037,0.9770108544884096,0.9272178180445451,0.9242733106832767
93,0.9729149009006611,0.9774601485418237,0.9285013212533031,0.9238203095507739
94,0.9741210253630284,0.9764041205247244,0.9273688184220461,0.9248773121932805
95,0.9738285807883682,0.9757246644312633,0.9274443186107966,0.9260853152132881
96,0.9720560061758843,0.9791103977224102,0.9297848244620611,0.922234805587014
97,0.9722924569378728,0.9777279496192932,0.9291053227633069,0.9238958097395243
98,0.9726560793925023,0.9774830967619799,0.9288033220083051,0.9239713099282748
99,0.9718662559410224,0.9762539578520734,0.9292563231408079,0.924952812382031
100,0.9725809065616073,0.9764905036359594,0.9284258210645526,0.9250283125707814
101,0.9727060204542778,0.9780328118282816,0.928652321630804,0.923669309173273
102,0.971998005097615,0.9760399208840541,0.9292563231408079,0.9256323140807852
103,0.9717649883694119,0.9752985044665958,0.9295583238958097,0.9260098150245376
104,0.9727585701550838,0.9785211551304601,0.9287278218195546,0.9232163080407702
105,0.9719251522407439,0.9755464056551745,0.9294073235183088,0.9256323140807852
106,0.9710441747149408,0.9751734520502137,0.9303133257833145,0.9257078142695356
107,0.9703307098524582,0.9760072887807653,0.9308418271045678,0.924952812382031
108,0.9725664636651099,0.9766355541305266,0.9288788221970555,0.9248773121932805
109,0.9713916093255011,0.976747286060582,0.9300868252170631,0.92480181200453
110,0.9709056513608941,0.9763306311651129,0.9305398263495659,0.924952812382031
111,0.972128911294799,0.9760100860238651,0.9291053227633069,0.9252548131370328
112,0.9713950116853207,0.9781106023684792,0.9300113250283125,0.923518308795772
113,0.9715503693202844,0.9761620169676445,0.9297848244620611,0.9251038127595319
